,neighborhood,year,tree_count,species_count
0,Bayshore,1956.0,2,1
1,Bayshore,1972.0,67,29
2,Bayshore,1973.0,1,1
3,Bayshore,1974.0,1,1
4,Bayshore,1975.0,1,1
5,Bayshore,1977.0,3,2
6,Bayshore,1978.0,2,2
7,Bayshore,1979.0,1,1
8,Bayshore,1980.0,2,2
9,Bayshore,1982.0,1,1
10,Bayshore,1983.0,1,1
11,Bayshore,1984.0,32,5
12,Bayshore,1985.0,3,2
13,Bayshore,1987.0,2,2
14,Bayshore,1988.0,1,1
15,Bayshore,1989.0,4,4
16,Bayshore,1991.0,21,6
17,Bayshore,1992.0,29,16
18,Bayshore,1993.0,22,13
19,Bayshore,1994.0,41,17
20,Bayshore,1995.0,37,7
21,Bayshore,1996.0,35,9
22,Bayshore,1997.0,38,9
23,Bayshore,1998.0,187,39
24,Bayshore,1999.0,82,28
25,Bayshore,2000.0,261,55
26,Bayshore,2001.0,98,14
27,Bayshore,2002.0,86,28
28,Bayshore,2003.0,97,36
29,Bayshore,2004.0,13,9
30,Bayshore,2005.0,29,13
31,Bayshore,2006.0,27,11
32,Bayshore,2007.0,54,9
33,Bayshore,2008.0,114,34
34,Bayshore,2009.0,92,23
35,Bayshore,2010.0,26,11
36,Bayshore,2011.0,56,21
37,Bayshore,2012.0,13,10
38,Bayshore,2013.0,15,9
39,Bayshore,2014.0,33,20
40,Bayshore,2015.0,102,30
41,Bayshore,2016.0,20,12
42,Bayshore,2017.0,118,23
43,Bayshore,2018.0,46,28
44,Bayshore,2019.0,65,18
45,Bayshore,2020.0,4,2
46,Bayview,1969.0,2,2
47,Bayview,1972.0,39,12
48,Bayview,1973.0,12,2
49,Bayview,1974.0,1,1
50,Bayview,1981.0,17,3
51,Bayview,1982.0,58,13
52,Bayview,1983.0,34,8
53,Bayview,1985.0,10,7
54,Bayview,1988.0,37,15
55,Bayview,1989.0,5,5
56,Bayview,1990.0,79,31
57,Bayview,1991.0,7,4
58,Bayview,1992.0,148,32
59,Bayview,1993.0,52,21
60,Bayview,1994.0,5,4
61,Bayview,1995.0,110,18
62,Bayview,1996.0,76,23
63,Bayview,1997.0,121,34
64,Bayview,1998.0,394,60
65,Bayview,1999.0,184,40
66,Bayview,2000.0,118,37
67,Bayview,2001.0,48,20
68,Bayview,2002.0,106,38
69,Bayview,2003.0,87,26
70,Bayview,2004.0,95,33
71,Bayview,2005.0,81,31
72,Bayview,2006.0,554,54
73,Bayview,2007.0,190,25
74,Bayview,2008.0,258,40
75,Bayview,2009.0,154,48
