year,neighborhood,most_popular_species,species_count
1955,Chinatown, Blackwood Acacia,2
1955,Outer Richmond, Red Flowering Gum,2
1955,South Beach, Victorian Box,1
1956,Bayshore, Blackwood Acacia,2
1956,Chinatown, Chinese Elm,3
1956,Financial District, Blackwood Acacia,6
1956,Inner Richmond, Victorian Box,25
1956,Lower Pacific Heights, Sycamore: London Plane,3
1956,Marina, Blackwood Acacia,5
1956,Nob Hill, Indian Laurel Fig Tree 'Green Gem',4
1956,North Beach, Blackwood Acacia,19
1956,Portola, Golden Wattle,1
1956,South Beach, Avocado,8
1956,Sunset, Blackwood Acacia,1
1956,Twin Peaks, Hybrid Strawberry Tree,3
1969,Bayview, Lemon Bottlebrush,1
1969,Castro, Brisbane Box,2
1969,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1969,Ingleside, Lemon Bottlebrush,2
1969,Inner Richmond, Banyan Fig,2
1969,Lake Merced, Myoporum,1
1969,Lower Pacific Heights, Chinese Elm,1
1969,Marina, European White Birch,6
1969,Nob Hill, Myoporum,9
1969,North Beach, Banyan Fig,1
1969,Outer Richmond, New Zealand Xmas Tree,2
1969,Panhandle, Blackwood Acacia,2
1969,Rincon Hill, Red Maple,1
1969,South Beach, Chinese Elm,2
1969,Sunset, Flooded Box: Coolibah,1
1969,Taraval, California Lilac 'Ray Hartman',1
1970,Castro, Laurel Fig,2
1970,Inner Richmond, Red Flowering Gum,2
1970,Lower Pacific Heights, Myoporum,1
1970,Marina, Lemon Bottlebrush,1
1970,Taraval, New Zealand Xmas Tree,1
1970,Twin Peaks, Cherry Plum,1
1972,Bayshore, American Sweet Gum,12
1972,Bayview, Bronze Loquat,22
1972,Castro, Blackwood Acacia,3
1972,Chinatown, Indian Laurel Fig Tree 'Green Gem',3
1972,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1972,Inner Richmond, Blackwood Acacia,11
1972,Lower Pacific Heights, Banyan Fig,6
1972,Marina, Bronze Loquat,6
1972,Nob Hill, Chinese Elm,1
1972,North Beach, Banyan Fig,1
1972,Outer Richmond, Angel trumpet,5
1972,Panhandle, Banyan Fig,9
1972,Portola, Brazilian Pepper,4
1972,South Beach, American Sweet Gum,7
1972,Sunset, Bronze Loquat,16
1972,Taraval, Myoporum,1
1972,Tenderloin, Chinese Elm,1
1972,Twin Peaks, Coast Redwood,1
1973,Bayshore, Crape Myrtle,1
1973,Bayview, Lemon Bottlebrush,11
1973,Castro, Evergreen Pear,5
1973,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1973,Inner Richmond, Ash Spp,23
1973,Lower Pacific Heights, Blackwood Acacia,7
1973,Marina, Bronze Loquat,17
1973,Mission, Brisbane Box,4
1973,Nob Hill, Glossy Privet,1
1973,North Beach, Cherry Plum,1
1973,Outer Richmond, Cherry Plum,17
1973,Panhandle, Ash Spp,4
1973,South Beach, American Sweet Gum,3
1973,Sunset, Fruitless Olive,2
1973,Taraval, Blackwood Acacia,10
1973,Twin Peaks, Glossy Privet,2
1974,Bayshore, Shamel Ash: Evergreen Ash,1
1974,Bayview, Weeping Bottlebrush,1
1974,Castro, Brisbane Box,4
1974,Chinatown, Chinese Elm,1
1974,Financial District, Indian Laurel Fig Tree 'Green Gem',1
1974,Ingleside, Carob,2
1974,Inner Richmond, Chinese Elm,3
1974,Lower Pacific Heights, Banyan Fig,3
1974,Marina, Laurel Fig,1
1974,Mission, New Zealand Ruby Glow Tea Tree,1
1974,Nob Hill, Red Flowering Gum,2
1974,North Beach, Banyan Fig,1
1974,Outer Richmond, New Zealand Xmas Tree,3
1974,Panhandle, Banyan Fig,4
1974,Rincon Hill, Carob,1
1974,SoMa, Mexican Fan Palm,1
1974,South Beach, American Sweet Gum,4
1974,Sunset, Cherry Plum,9
1974,Twin Peaks, Mayten,1
1975,Bayshore, Silver Maple,1
1975,Castro, American Sweet Gum,1
1975,Ingleside, Dracena Palm,1
1975,Inner Richmond, Indian Laurel Fig Tree 'Green Gem',1
1975,Lower Pacific Heights, Myoporum,1
1975,Panhandle, New Zealand Xmas Tree,1
1975,Sunset, Shamel Ash: Evergreen Ash,1
1975,Taraval, Flowering Plum,1
1976,Castro, Glossy Privet,4
1976,Chinatown, Blackwood Acacia,1
1976,Financial District, Sycamore: London Plane,1
1976,Inner Richmond, Cherry Plum,1
1976,Lower Pacific Heights, Banyan Fig,3
1976,Marina, Indian Laurel Fig Tree 'Green Gem',3
1976,Mission, Australian Willow,1
1976,Nob Hill, Glossy Privet,4
1976,Outer Richmond, Japanese Maple,1
1976,Panhandle, Myoporum,1
1976,SoMa, California Pepper,5
1976,South Beach, Kwanzan Flowering Cherry,3
1976,Sunset, Purple Leaf Plum Krauter Vesuvius,1
1976,Tenderloin, Banyan Fig,2
1976,Twin Peaks, Laurel Fig,2
1977,Bayshore, New Zealand Xmas Tree,2
