tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,geometry
54136,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,2443 Vallejo St,1.0,Sidewalk: Curb side : Cutout,Private,1972-05-22,15.0,,37.7948726132212,-122.437456069748,POINT (-122.437456069748 37.7948726132212)
54271,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,1247 09th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-05-26,,,37.7650311769521,-122.466470157661,POINT (-122.466470157661 37.7650311769521)
54276,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,1459 09th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-05-30,,5x6,37.761078465039,-122.466194038055,POINT (-122.466194038055 37.761078465039)
54213,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,725 Irving St,1.0,Sidewalk: Curb side : Cutout,Private,1972-06-28,,,37.7640002940645,-122.465517235123,POINT (-122.465517235123 37.7640002940645)
54985,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,610 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-09-12,1.0,,37.7764361179599,-122.474725393074,POINT (-122.474725393074 37.7764361179599)
55067,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1404 Lane St,1.0,Sidewalk: Curb side : Cutout,Private,1972-09-13,11.0,,37.7334019292539,-122.388694369981,POINT (-122.388694369981 37.7334019292539)
55068,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1408 Lane St,1.0,Sidewalk: Curb side : Cutout,Private,1972-09-13,11.0,,37.7333391717852,-122.388747902809,POINT (-122.388747902809 37.7333391717852)
55804,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1631 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,1973-03-30,12.0,,37.7991487753414,-122.42632699542,POINT (-122.42632699542 37.7991487753414)
56170,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,657 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-07-03,3.0,,37.7756463641696,-122.474830819328,POINT (-122.474830819328 37.7756463641696)
56166,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,623 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-07-03,6.0,,37.7762647906594,-122.474874396612,POINT (-122.474874396612 37.7762647906594)
56328,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,770 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-07-25,1.0,,37.7735533016924,-122.47451310498,POINT (-122.47451310498 37.7735533016924)
243307,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,590 South Van Ness Ave,1.0,Sidewalk: Curb side : Cutout,Private,1976-10-21,0.0,Width 3ft,37.7637642560428,-122.417474751767,POINT (-122.417474751767 37.7637642560428)
58476,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,772 Clayton St,1.0,Sidewalk: Curb side : Cutout,Private,1978-06-05,15.0,8x7,37.7675370965506,-122.448029547496,POINT (-122.448029547496 37.7675370965506)
58438,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,905 Ashbury St,1.0,Sidewalk: Curb side : Cutout,Private,1979-03-21,,3x3,37.7656181571992,-122.446135313725,POINT (-122.446135313725 37.7656181571992)
248515,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,170 Belvedere St,1.0,Sidewalk: Curb side : Cutout,Private,1979-04-10,14.0,Width 0ft,37.7674230792249,-122.449113630691,POINT (-122.449113630691 37.7674230792249)
59079,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,630 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,Private,1980-04-23,4.0,,37.7753664990592,-122.465560903584,POINT (-122.465560903584 37.7753664990592)
59448,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,300X Bosworth St,1.0,Sidewalk: Curb side : Cutout,Private,1980-12-04,4.0,3x3,37.7334613379814,-122.429458147626,POINT (-122.429458147626 37.7334613379814)
