tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,geometry
47406,DPW Maintained,Pittosporum undulatum :: Victorian Box,557 08th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2002-05-14,8.0,,37.7778946682399,-122.466281533917,POINT (-122.466281533917 37.7778946682399)
91469,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,278 Granada Ave,1.0,Sidewalk: Curb side : Cutout,Private,2009-04-20,,3x3,37.7235460643163,-122.45700835021,POINT (-122.45700835021 37.7235460643163)
22041,Permitted Site,Lophostemon confertus :: Brisbane Box,2833 03rd St,2.0,Sidewalk: Curb side : Cutout,Private,1995-02-14,3.0,,37.7537429168085,-122.387629897505,POINT (-122.387629897505 37.7537429168085)
9529,Permitted Site,Pittosporum undulatum :: Victorian Box,1080 Golden Gate Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-03-31,3.0,3X3,37.7801180293545,-122.428269582102,POINT (-122.428269582102 37.7801180293545)
90639,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3222 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-04-07,3.0,3x3,37.7741046971772,-122.493379558502,POINT (-122.493379558502 37.7741046971772)
25951,DPW Maintained,Melaleuca quinquenervia :: Cajeput,2198 Oakdale Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-03-11,3.0,3X3,37.7408432242339,-122.401148318148,POINT (-122.401148318148 37.7408432242339)
88110,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1779 48th Ave,,Sidewalk: Curb side : Cutout,Private,2008-07-01,,3x3,37.7532830173469,-122.507711214113,POINT (-122.507711214113 37.7532830173469)
69516,Permitted Site,Magnolia grandiflora :: Southern Magnolia,473 Prentiss St,1.0,Sidewalk: Curb side : Cutout,Private,1994-05-24,,,37.7373421753276,-122.412117812811,POINT (-122.412117812811 37.7373421753276)
54227,Permitted Site,Tree(s) ::,1218 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1972-06-19,,,37.7658348448517,-122.459903244465,POINT (-122.459903244465 37.7658348448517)
42608,Permitted Site,Melaleuca quinquenervia :: Cajeput,1775 Green St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,,,37.796975439849,-122.428283124742,POINT (-122.428283124742 37.796975439849)
32374,Permitted Site,Prunus cerasifera :: Cherry Plum,101 Leese St,2.0,Sidewalk: Curb side : Cutout,Private,1996-10-03,,,37.7359387074275,-122.423057847038,POINT (-122.423057847038 37.7359387074275)
