species,address,latitude,longitude
Sycamore: London Plane,2560 Divisadero St,37.7931892226682,-122.441380081625
Sycamore: London Plane,2560 Divisadero St,37.7932424094526,-122.441395280167
Sycamore: London Plane,2509 Filbert St,37.7972954389769,-122.440879042342
Sycamore: London Plane,2533 Filbert St,37.7972494854297,-122.441244833501
Sycamore: London Plane,2515 Filbert St,37.7972907768996,-122.440926241448
Sycamore: London Plane,2515 Filbert St,37.7972827855346,-122.440986082347
Sycamore: London Plane,3030 Pacific Ave,37.7920851942278,-122.44523389245
Sycamore: London Plane,325 Union St,37.8009142983168,-122.404858440665
Sycamore: London Plane,331 Union St,37.8008963748235,-122.404941379744
Sycamore: London Plane,341 Union St,37.8008862925398,-122.40508457339
Sycamore: London Plane,364 Union St,37.8009670192778,-122.405494875589
New Zealand Xmas Tree,2424 Green St,37.7957336484481,-122.439134063486
New Zealand Xmas Tree,2424 Green St,37.7957459988263,-122.439039506991
Brisbane Box,18 Castro St,37.7687298602082,-122.435852144701
Sycamore: London Plane,435 Brannan St,37.7792549344058,-122.39520981319
New Zealand Xmas Tree,2441 Balboa St,37.7761973464008,-122.485179196709
New Zealand Xmas Tree,2445 Balboa St,37.7761931053445,-122.485250018998
Sycamore: London Plane,615 Wisconsin St,37.7593337927312,-122.399036221654
New Zealand Xmas Tree,155 14th Ave,37.7852598422455,-122.47326029742
New Zealand Xmas Tree,151 14th Ave,37.7852872519753,-122.473265632531
Sycamore: London Plane,842 Waller St,37.7703031822307,-122.437676936219
Sycamore: London Plane,840 Waller St,37.770308240195,-122.437639590581
Swamp Myrtle,1348 Thomas Ave,37.7278383665438,-122.386544340959
Sycamore: London Plane,2522 Gough St,37.7967918069583,-122.426906009529
Sycamore: London Plane,2635 Scott St,37.794133574667,-122.44003489281
Brisbane Box,20-22 Divisadero St,37.7676367256187,-122.436420433566
Sycamore: London Plane,123 06th Ave,37.7861951385831,-122.464740857622
New Zealand Xmas Tree,666 28th St,37.7447481043621,-122.437132804619
New Zealand Xmas Tree,2624 Ulloa St,37.7408700353347,-122.484615807826
Cherry Plum,263 Duncan St,37.7460811040455,-122.426025303667
Sycamore: London Plane,2373 Filbert St,37.7976127296949,-122.438412720891
New Zealand Xmas Tree,2345 Filbert St,37.797653522957,-122.438071350827
New Zealand Xmas Tree,260 San Benito Way,37.7323063039162,-122.467011225343
New Zealand Xmas Tree,3501 Moraga St,37.7549786359111,-122.500496852361
New Zealand Xmas Tree,2820 Jackson St,37.7916493297009,-122.441611447533
New Zealand Xmas Tree,2832 Jackson St,37.7916147228868,-122.441847053694
New Zealand Xmas Tree,2838 Jackson St,37.7916043402131,-122.441908364082
New Zealand Xmas Tree,1075 Goettingen St,37.7187869832091,-122.403143599913
New Zealand Xmas Tree,1092 Goettingen St,37.7185645269219,-122.403183775326
New Zealand Xmas Tree,1087 Goettingen St,37.7186697961475,-122.403090869943
New Zealand Xmas Tree,2456 Steiner St,37.7921302538612,-122.436090735194
New Zealand Xmas Tree,2450 Steiner St,37.7920678067298,-122.436077952237
Sycamore: London Plane,19 Rutland St,37.7176408764096,-122.405095569414
Sycamore: London Plane,15 Rutland St,37.7177042660078,-122.40507128591
