species,address,latitude,longitude
Swamp Myrtle,0 30th St,37.7421118267982,-122.427380974772
New Zealand Xmas Tree,0 Gonzalez Dr,37.7185874434309,-122.475385114628
Sycamore: London Plane,0 Gonzalez Dr,37.7174779462404,-122.481711737333
New Zealand Xmas Tree,0 Higuera Ave,37.7182137751147,-122.483461311716
Cherry Plum,1 01st St,37.7631626734333,-122.393340361863
New Zealand Xmas Tree,1 02nd St,37.789213779452,-122.401149350579
Cherry Plum,1 08th Ave,37.7868557832667,-122.466934987319
Cherry Plum,1 25th St,37.7531769800583,-122.391150547759
Swamp Myrtle,1 27th St,37.7471576573064,-122.421428163818
Cherry Plum,1 Alpha St,37.7159994174075,-122.402038569068
Sycamore: London Plane,1 Ardath Ct,37.7346949695032,-122.382658141758
Cherry Plum,1 Ashbury Ter,37.7653304712372,-122.444861252951
Cherry Plum,1 Atalaya Ter,37.7764489521659,-122.447659448254
Cherry Plum,1 Bache St,37.7348864958229,-122.417391936393
Cherry Plum,1 Belmont Ave,37.7629337141391,-122.454591393188
Victorian Box,1 Bonview St,37.7444768180465,-122.41585519327
Victorian Box,1 Brook St,37.7406351085105,-122.423310624296
Sycamore: London Plane,1 Capp St,37.7665667099198,-122.41865188518
Swamp Myrtle,1 Castro St,37.7687405871237,-122.435662832375
Sycamore: London Plane,1 Cedar St,37.7865854379092,-122.418332302121
Victorian Box,1 Church St,37.7703294028669,-122.429132262601
New Zealand Xmas Tree,1 Daniel Burnham Ct,37.7868925594682,-122.422482411139
New Zealand Xmas Tree,1 Elizabeth St,37.7527932087596,-122.421697928544
New Zealand Xmas Tree,1 Elsie St,37.7451591053054,-122.416063030013
New Zealand Xmas Tree,1 Fell St,37.776628592972,-122.417931258428
Victorian Box,1 Flora St,37.7317927781076,-122.394284291187
New Zealand Xmas Tree,1 Geneva Ave,37.7228087424092,-122.451803705299
Victorian Box,1 Harrison St,37.7892819048945,-122.388688779581
Victorian Box,1 Heather Ave,37.7855346961081,-122.452991119752
Swamp Myrtle,1 Hoffman Ave,37.7540830303141,-122.440838195083
Swamp Myrtle,1 Holly Park Cir,37.7381316072746,-122.419862472475
New Zealand Xmas Tree,1 IRVING ST,37.7645019012702,-122.457678342592
Cherry Plum,1 Issleib Ave,37.7283273718953,-122.398056688169
Victorian Box,1 Jack Balestreri Way,37.7601038120647,-122.400073395388
Cherry Plum,1 Jack Balestreri Way,37.7600693698184,-122.400161894071
New Zealand Xmas Tree,1 John Maher St,37.8010020586619,-122.400829137966
Swamp Myrtle,1 Las Villas Ct,37.7331824919173,-122.385602758378
Swamp Myrtle,1 Lawrence Ave,37.7095822269181,-122.451188694021
Sycamore: London Plane,1 Lindsay Cir,37.7351813255446,-122.385701866655
Cherry Plum,1 Loma Vista Ter,37.7652524667463,-122.443201354463
Sycamore: London Plane,1 MATEO ST,37.7374026627639,-122.429889171598
New Zealand Xmas Tree,1 Majestic Ave,37.7183066418059,-122.450699017642
New Zealand Xmas Tree,1 Mansell St,37.7213050795375,-122.401314833019
Sycamore: London Plane,1 Market St,37.7943048073789,-122.394813447799
New Zealand Xmas Tree,1 Masonic Ave,37.7837484562249,-122.447303968308
Victorian Box,1 Masonic Ave,37.7837484562249,-122.447303968308
Sycamore: London Plane,1 Mateo St,37.7374035197462,-122.429949381872
Swamp Myrtle,1 McCoppin St,37.7716968767803,-122.42033443755
New Zealand Xmas Tree,1 McLaren Ave,37.7862100096394,-122.488570968169
Sycamore: London Plane,1 Newhall St,37.739190920851,-122.377789500691
Victorian Box,1 Penny Ln,37.7367532424671,-122.434400864109
New Zealand Xmas Tree,1 Polk St,37.7765138277066,-122.41757533494
Swamp Myrtle,1 Polk St,37.7765138277066,-122.41757533494
Sycamore: London Plane,1 Presidio Ave,37.7918061031258,-122.44779486036
Victorian Box,1 Prospect Ave,37.745587335989,-122.417261702379
Sycamore: London Plane,1 Roanoke St,37.736581609537,-122.431233451874
Cherry Plum,1 Romain St,37.7564201071117,-122.439205717892
New Zealand Xmas Tree,1 Rossi Ave,37.778305024271,-122.456265914994
Swamp Myrtle,1 Saint Joseph's Ave,37.7795223070318,-122.441062642932
Victorian Box,1 San Fernando Way,37.7360079733772,-122.469760152022
Cherry Plum,1 San Rafael Way,37.7345983202373,-122.470429899615
Victorian Box,1 Sargent St,37.7160723272597,-122.46262485198
Sycamore: London Plane,1 Starr King Way,37.7844875273108,-122.423061232398
New Zealand Xmas Tree,1 Stoneybrook Ave,37.7311910030448,-122.421787188054
Victorian Box,1 Sussex St,37.7358037022675,-122.432760097816
Victorian Box,1 Villa Ter,37.7599165333482,-122.446776141106
New Zealand Xmas Tree,1 WOOD ST,37.7837787640446,-122.449235173997
Swamp Myrtle,1 Waller St,37.7719245936684,-122.423909987349
Victorian Box,1 Webster St,37.7694368344775,-122.428310278261
Victorian Box,1 Worth St,37.7551062209912,-122.439882259881
Victorian Box,1(REVISED) Church St,37.7703294028669,-122.429132262601
Cherry Plum,1-3 Romain St,37.7554623279051,-122.43897417865
Cherry Plum,10 17th Ave,37.7868476878607,-122.476599871638
Swamp Myrtle,10 Apollo St,37.7325270152047,-122.397206767679
New Zealand Xmas Tree,10 Beaver St,37.7650858457666,-122.433719399242
Victorian Box,10 Beideman St,37.7817812543678,-122.438239161137
Cherry Plum,10 Bessie St,37.7466111348871,-122.414874651383
Cherry Plum,10 Caselli Ave,37.7598391568788,-122.439607567343
Cherry Plum,10 Cashmere St,37.7358073912904,-122.383271945238
New Zealand Xmas Tree,10 Cerritos Ave,37.7270873338596,-122.466887350359
Victorian Box,10 Crescent Ave,37.7352511767936,-122.424271584978
New Zealand Xmas Tree,10 Cumberland St,37.7591965535096,-122.423968067388
Victorian Box,10 Curtis St,37.7150266380306,-122.440358700919
New Zealand Xmas Tree,10 Daniel Burnham Ct,37.7870318487916,-122.422337709814
New Zealand Xmas Tree,10 De Boom St,37.7825864585261,-122.392282564904
Swamp Myrtle,10 Elmhurst Dr,37.7302528212926,-122.472609144905
Cherry Plum,10 Florence St,37.7970528621676,-122.41464241973
Sycamore: London Plane,10 Ford St,37.7619725376186,-122.431350145198
Cherry Plum,10 Freelon St,37.7789352703972,-122.396901277881
Cherry Plum,10 Granada Ave,37.7183087156567,-122.457052192827
Cherry Plum,10 Hill St,37.7561273490041,-122.421537959813
Cherry Plum,10 Hillway Ave,37.764730469656,-122.456664521149
Cherry Plum,10 Joy St,37.7437739492996,-122.406674804102
Cherry Plum,10 Kalmanovitz St,37.7283592870497,-122.396753038148
Sycamore: London Plane,10 King St,37.7806719412978,-122.388885850717
Swamp Myrtle,10 Las Villas Ct,37.7333285587394,-122.38563687008
Cherry Plum,10 Levant St,37.7649053059642,-122.442364299668
Cherry Plum,10 Loma Vista Ter,37.7650519691887,-122.443310039322
Swamp Myrtle,10 Loma Vista Ter,37.765188322609,-122.443317592742
New Zealand Xmas Tree,10 Lupine Ave,37.7840795084333,-122.449384168554
Sycamore: London Plane,10 Mateo St,37.7371955209567,-122.429893490793
Swamp Myrtle,10 Mill St,37.7194555904939,-122.405712770528
Sycamore: London Plane,10 Normandie Ter,37.7938677872075,-122.4406668518
Cherry Plum,10 Otsego Ave,37.7270028279165,-122.439007348127
Sycamore: London Plane,10 Roanoke St,37.7364212685243,-122.431213399685
Swamp Myrtle,10 Rolph St,37.7155626339762,-122.441222488037
Swamp Myrtle,10 Romain St,37.7556398401092,-122.438847746407
New Zealand Xmas Tree,10 Rousseau St,37.7335710057983,-122.430386337287
New Zealand Xmas Tree,10 SEACLIFF AVE,37.788990841692,-122.484789589413
Swamp Myrtle,10 San Andreas Way,37.7341638955498,-122.463835582055
New Zealand Xmas Tree,10 Seacliff Ave,37.7889983045622,-122.484858100014
New Zealand Xmas Tree,10 Shore View Ave,37.7806740097418,-122.496944292743
Victorian Box,10 Stanford Heights Ave,37.7340934318661,-122.449962574533
Sycamore: London Plane,10 Starr King Way,37.7846901005097,-122.423300702092
Cherry Plum,10 Walnut St,37.7913092042995,-122.449260243563
Cherry Plum,10 Woodland Ave,37.7641268320976,-122.453380686287
Swamp Myrtle,100 09th Ave,37.7863742905451,-122.467810568951
Cherry Plum,100 19th Ave,37.7857701098965,-122.478621999998
Victorian Box,100 21st Ave,37.7857756190772,-122.480767882959
New Zealand Xmas Tree,100 27th St,37.7472078063944,-122.422769010297
New Zealand Xmas Tree,100 Acadia St,37.7316137334439,-122.437367766054
New Zealand Xmas Tree,100 Alemany Blvd,37.735514360685,-122.409948828285
Victorian Box,100 Anderson St,37.7414939170179,-122.415127643537
Swamp Myrtle,100 Ashbury St,37.7744803767388,-122.447755234881
New Zealand Xmas Tree,100 Buena Vista Ter,37.7671501109056,-122.438265589986
Victorian Box,100 Burlwood Dr,37.7350829873752,-122.452993047911
Sycamore: London Plane,100 Bush St,37.7913925405012,-122.399621455512
New Zealand Xmas Tree,100 Carmel St,37.7608890254153,-122.449183977457
New Zealand Xmas Tree,100 Cerritos Ave,37.7263732776196,-122.469244755687
Sycamore: London Plane,100 Clay St,37.7954756095544,-122.397126031945
Sycamore: London Plane,100 Clifford Ter,37.7640954502549,-122.444520436874
Cherry Plum,100 Coleridge St,37.7441257054073,-122.419551194294
Swamp Myrtle,100 Colon Ave,37.7288745967493,-122.455513542245
