species,address,latitude,longitude
New Zealand Xmas Tree,127 Miramar Ave,37.7205335525293,-122.45826904898
New Zealand Xmas Tree,53 28th St,37.7454319488588,-122.423438446094
Brisbane Box,1445 Innes Ave,37.7376691417172,-122.385954805477
New Zealand Xmas Tree,2338 Alemany Blvd,37.7166132174991,-122.444088354015
Sycamore: London Plane,1101 Howard St,37.7776565009765,-122.409632823604
New Zealand Xmas Tree,2700X Sunset Blvd,37.7366355480025,-122.494159995324
Cherry Plum,1965 Ulloa St,37.7410267085562,-122.477516024741
Sycamore: London Plane,1925 Gough St,37.7914555446772,-122.426002153097
Cherry Plum,1620 Montgomery St,37.804050345434,-122.404938924734
Cherry Plum,1837 McAllister St,37.7772074577589,-122.442463326253
Cherry Plum,774 Capp St,37.7543130741871,-122.417635411147
